episode num = '0', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '21.7254702251', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '17', episode_total_immediate_rewards = '6.79501159335', episode_total_reward = '6.79501159335', current_state = '01110000000000000', actions_taken = '1,2,3', strategy = ['explore', 'explore', 'explore'] 
episode num = '18', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '19', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '20', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '21', episode_total_immediate_rewards = '17.3020475336', episode_total_reward = '35.0801558018', current_state = '11001000000000000', actions_taken = '0,4,1', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '22', episode_total_immediate_rewards = '12.8813388668', episode_total_reward = '26.5404722119', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '23', episode_total_immediate_rewards = '6.79501159335', episode_total_reward = '10.6782856067', current_state = '01110000000000000', actions_taken = '1,2,3', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '24', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '25', episode_total_immediate_rewards = '12.4283133009', episode_total_reward = '25.9113721663', current_state = '10000000000110000', actions_taken = '0,11,12', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '26', episode_total_immediate_rewards = '6.8584952632', episode_total_reward = '11.0757546603', current_state = '00010000001010000', actions_taken = '3,12,10', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '28', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '29', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '21.0127850174', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '8.25282545087', episode_total_reward = '8.25282545087', current_state = '01001000000100000', actions_taken = '11,4,1', strategy = ['explore', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '33.9032701404', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '3', episode_total_immediate_rewards = '12.3526372655', episode_total_reward = '24.6194152814', current_state = '11000000001000000', actions_taken = '0,10,1', strategy = ['exploit', 'explore', 'explore'] 
episode num = '4', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '5', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '6', episode_total_immediate_rewards = '11.0424905516', episode_total_reward = '23.3092685675', current_state = '11100000000000000', actions_taken = '0,2,1', strategy = ['exploit', 'explore', 'explore'] 
episode num = '7', episode_total_immediate_rewards = '16.8088223235', episode_total_reward = '29.0756003393', current_state = '11000000000100000', actions_taken = '0,11,1', strategy = ['exploit', 'explore', 'explore'] 
episode num = '8', episode_total_immediate_rewards = '6.10920993959', episode_total_reward = '6.10920993959', current_state = '01101000000000000', actions_taken = '4,1,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '9', episode_total_immediate_rewards = '6.83156980285', episode_total_reward = '9.23641540642', current_state = '11100000000000000', actions_taken = '2,0,1', strategy = ['explore', 'explore', 'exploit'] 
episode num = '10', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '11', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '12', episode_total_immediate_rewards = '12.0599494646', episode_total_reward = '24.3267274805', current_state = '11000000000010000', actions_taken = '0,12,1', strategy = ['exploit', 'explore', 'explore'] 
episode num = '13', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '14', episode_total_immediate_rewards = '17.0301136863', episode_total_reward = '35.5339627735', current_state = '11000000001000000', actions_taken = '0,1,10', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '15', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '16', episode_total_immediate_rewards = '11.862248866', episode_total_reward = '26.553076688', current_state = '10010000000010000', actions_taken = '0,12,3', strategy = ['exploit', 'explore', 'explore'] 
episode num = '17', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '18', episode_total_immediate_rewards = '6.83156980285', episode_total_reward = '12.9131509499', current_state = '11100000000000000', actions_taken = '2,0,1', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '19', episode_total_immediate_rewards = '7.89232075493', episode_total_reward = '7.89232075493', current_state = '00110000001000000', actions_taken = '3,10,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '20', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '21', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '22', episode_total_immediate_rewards = '16.7760947227', episode_total_reward = '35.2799438099', current_state = '11000000000010000', actions_taken = '0,1,12', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '23', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '24', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '25', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '26', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '28', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '29', episode_total_immediate_rewards = '21.0127850174', episode_total_reward = '39.5166341047', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '8.55233287971', episode_total_reward = '8.55233287971', current_state = '00001000001010000', actions_taken = '12,10,4', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '11.6302705766', episode_total_reward = '14.7373766663', current_state = '10000000001010000', actions_taken = '12,0,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '7.0972406833', episode_total_reward = '10.7175287778', current_state = '00100000000110000', actions_taken = '12,11,2', strategy = ['exploit', 'explore', 'explore'] 
episode num = '3', episode_total_immediate_rewards = '12.1731014534', episode_total_reward = '12.1731014534', current_state = '11100000000000000', actions_taken = '0,1,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '4', episode_total_immediate_rewards = '7.51839615354', episode_total_reward = '7.51839615354', current_state = '11001000000000000', actions_taken = '4,1,0', strategy = ['explore', 'explore', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '8.4156384956', episode_total_reward = '8.4156384956', current_state = '00010000001010000', actions_taken = '3,10,12', strategy = ['explore', 'explore', 'explore'] 
episode num = '6', episode_total_immediate_rewards = '6.51708030779', episode_total_reward = '9.15405502975', current_state = '01011000000000000', actions_taken = '3,4,1', strategy = ['explore', 'explore', 'explore'] 
episode num = '7', episode_total_immediate_rewards = '6.93367264423', episode_total_reward = '6.93367264423', current_state = '00110000000010000', actions_taken = '2,12,3', strategy = ['explore', 'explore', 'explore'] 
episode num = '8', episode_total_immediate_rewards = '7.51839615354', episode_total_reward = '12.2525232475', current_state = '11001000000000000', actions_taken = '4,1,0', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '9', episode_total_immediate_rewards = '7.28339774511', episode_total_reward = '9.4192857904', current_state = '01100000000010000', actions_taken = '2,1,12', strategy = ['explore', 'explore', 'explore'] 
episode num = '10', episode_total_immediate_rewards = '11.6302705766', episode_total_reward = '19.6903156092', current_state = '10000000001010000', actions_taken = '12,0,10', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '11', episode_total_immediate_rewards = '7.0972406833', episode_total_reward = '16.6939525425', current_state = '00100000000110000', actions_taken = '12,11,2', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '12', episode_total_immediate_rewards = '8.55233287971', episode_total_reward = '18.3511972341', current_state = '00001000001010000', actions_taken = '12,10,4', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '13', episode_total_immediate_rewards = '12.1731014534', episode_total_reward = '19.5399810631', current_state = '11100000000000000', actions_taken = '0,1,2', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '14', episode_total_immediate_rewards = '11.6302705766', episode_total_reward = '23.6860968535', current_state = '10000000001010000', actions_taken = '12,0,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '15', episode_total_immediate_rewards = '7.43424734997', episode_total_reward = '17.1980527721', current_state = '00110000000010000', actions_taken = '12,2,3', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '16', episode_total_immediate_rewards = '7.70382409977', episode_total_reward = '10.5501131082', current_state = '11001000000000000', actions_taken = '1,4,0', strategy = ['explore', 'explore', 'exploit'] 
episode num = '17', episode_total_immediate_rewards = '7.70382409977', episode_total_reward = '14.9996113013', current_state = '11001000000000000', actions_taken = '1,4,0', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '18', episode_total_immediate_rewards = '11.6302705766', episode_total_reward = '23.6860968535', current_state = '10000000001010000', actions_taken = '12,0,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '19', episode_total_immediate_rewards = '11.6302705766', episode_total_reward = '23.6860968535', current_state = '10000000001010000', actions_taken = '12,0,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '20', episode_total_immediate_rewards = '11.6302705766', episode_total_reward = '23.6860968535', current_state = '10000000001010000', actions_taken = '12,0,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '21', episode_total_immediate_rewards = '7.98817741697', episode_total_reward = '15.6042467558', current_state = '01100000000010000', actions_taken = '12,1,2', strategy = ['exploit', 'explore', 'explore'] 
episode num = '22', episode_total_immediate_rewards = '8.7987836414', episode_total_reward = '20.8546099183', current_state = '10000000000110000', actions_taken = '12,0,11', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '23', episode_total_immediate_rewards = '8.7987836414', episode_total_reward = '20.8546099183', current_state = '10000000000110000', actions_taken = '12,0,11', strategy = ['exploit', 'explore', 'explore'] 
episode num = '24', episode_total_immediate_rewards = '11.6302705766', episode_total_reward = '23.6860968535', current_state = '10000000001010000', actions_taken = '12,0,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '25', episode_total_immediate_rewards = '7.69195943438', episode_total_reward = '14.6967939236', current_state = '10001000000100000', actions_taken = '0,4,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '26', episode_total_immediate_rewards = '12.1731014534', episode_total_reward = '22.7983871474', current_state = '11100000000000000', actions_taken = '0,1,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '6.93367264423', episode_total_reward = '11.2172967728', current_state = '00110000000010000', actions_taken = '2,12,3', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '28', episode_total_immediate_rewards = '12.1731014534', episode_total_reward = '22.7983871474', current_state = '11100000000000000', actions_taken = '0,1,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '29', episode_total_immediate_rewards = '12.1731014534', episode_total_reward = '22.7983871474', current_state = '11100000000000000', actions_taken = '0,1,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '7.10039352423', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '6.98336302729', episode_total_reward = '6.98336302729', current_state = '00101000001000000', actions_taken = '2,10,4', strategy = ['explore', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '11.321595261', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '3', episode_total_immediate_rewards = '6.95595658256', episode_total_reward = '6.95595658256', current_state = '01000000000110000', actions_taken = '12,1,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '4', episode_total_immediate_rewards = '6.12942669644', episode_total_reward = '12.3723355777', current_state = '10000000001100000', actions_taken = '10,11,0', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '5.58588140861', episode_total_reward = '5.58588140861', current_state = '00110000000100000', actions_taken = '3,2,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '6', episode_total_immediate_rewards = '6.12942669644', episode_total_reward = '12.3723355777', current_state = '10000000001100000', actions_taken = '10,11,0', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '7', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '8', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '9', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '10', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '11', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '12', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '13', episode_total_immediate_rewards = '6.98336302729', episode_total_reward = '11.1165347811', current_state = '00101000001000000', actions_taken = '2,10,4', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '14', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '15', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '16', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '17', episode_total_immediate_rewards = '7.18171361746', episode_total_reward = '11.1782812271', current_state = '00001000001010000', actions_taken = '10,12,4', strategy = ['exploit', 'explore', 'explore'] 
episode num = '18', episode_total_immediate_rewards = '6.4722344551', episode_total_reward = '12.7151433364', current_state = '00001000001100000', actions_taken = '10,11,4', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '19', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '20', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '21', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '22', episode_total_immediate_rewards = '6.67751493538', episode_total_reward = '12.9204238167', current_state = '01000000001100000', actions_taken = '10,11,1', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '23', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '24', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '25', episode_total_immediate_rewards = '7.34003777497', episode_total_reward = '13.2607527361', current_state = '00100000001010000', actions_taken = '2,10,12', strategy = ['explore', 'exploit', 'explore'] 
episode num = '26', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '28', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '29', episode_total_immediate_rewards = '7.10039352423', episode_total_reward = '13.3433024055', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '7.67330770197', episode_total_reward = '7.67330770197', current_state = '00101000001000000', actions_taken = '4,10,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '6.18198972952', episode_total_reward = '8.64069240325', current_state = '01001000000100000', actions_taken = '4,1,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '8.62383294637', episode_total_reward = '8.62383294637', current_state = '10110000000000000', actions_taken = '2,0,3', strategy = ['explore', 'explore', 'explore'] 
episode num = '3', episode_total_immediate_rewards = '7.67330770197', episode_total_reward = '12.7322172944', current_state = '00101000001000000', actions_taken = '4,10,2', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '4', episode_total_immediate_rewards = '7.23914958109', episode_total_reward = '14.6382454003', current_state = '00001000001100000', actions_taken = '4,10,11', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '7.01164802599', episode_total_reward = '7.01164802599', current_state = '01010000001000000', actions_taken = '3,1,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '6', episode_total_immediate_rewards = '7.67330770197', episode_total_reward = '15.0724035212', current_state = '00101000001000000', actions_taken = '4,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '7', episode_total_immediate_rewards = '7.67330770197', episode_total_reward = '15.0724035212', current_state = '00101000001000000', actions_taken = '4,10,2', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '8', episode_total_immediate_rewards = '6.16856077211', episode_total_reward = '6.16856077211', current_state = '00011000000100000', actions_taken = '11,4,3', strategy = ['explore', 'explore', 'explore'] 
episode num = '9', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '8.72051456756', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['explore', 'explore', 'explore'] 
episode num = '10', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '13.6734576912', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '11', episode_total_immediate_rewards = '6.28771632179', episode_total_reward = '13.1628677284', current_state = '01001000001000000', actions_taken = '4,1,10', strategy = ['exploit', 'explore', 'explore'] 
episode num = '12', episode_total_immediate_rewards = '7.67330770197', episode_total_reward = '15.0724035212', current_state = '00101000001000000', actions_taken = '4,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '13', episode_total_immediate_rewards = '7.67330770197', episode_total_reward = '15.0724035212', current_state = '00101000001000000', actions_taken = '4,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '14', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '16.3349363365', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '15', episode_total_immediate_rewards = '8.28925027514', episode_total_reward = '15.9036720441', current_state = '10010000000100000', actions_taken = '0,3,11', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '16', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '16.3349363365', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '17', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '16.3349363365', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '18', episode_total_immediate_rewards = '8.22635176468', episode_total_reward = '12.8835750389', current_state = '11000000001000000', actions_taken = '0,1,10', strategy = ['exploit', 'explore', 'explore'] 
episode num = '19', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '16.3349363365', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '20', episode_total_immediate_rewards = '8.28925027514', episode_total_reward = '15.9036720441', current_state = '10010000000100000', actions_taken = '0,3,11', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '21', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '16.3349363365', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '22', episode_total_immediate_rewards = '6.16856077211', episode_total_reward = '9.81766387073', current_state = '00011000000100000', actions_taken = '11,4,3', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '23', episode_total_immediate_rewards = '8.62383294637', episode_total_reward = '14.5249974536', current_state = '10110000000000000', actions_taken = '2,0,3', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '24', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '16.3349363365', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '25', episode_total_immediate_rewards = '7.67330770197', episode_total_reward = '15.0724035212', current_state = '00101000001000000', actions_taken = '4,10,2', strategy = ['explore', 'explore', 'exploit'] 
episode num = '26', episode_total_immediate_rewards = '8.72051456756', episode_total_reward = '16.3349363365', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '7.72469698099', episode_total_reward = '12.3819202552', current_state = '10000000000110000', actions_taken = '0,11,12', strategy = ['exploit', 'explore', 'explore'] 
episode num = '28', episode_total_immediate_rewards = '9.31973443025', episode_total_reward = '13.9769577045', current_state = '10000000001100000', actions_taken = '0,10,11', strategy = ['exploit', 'explore', 'explore'] 
